R#,E/N,(Td),A1,A2,A6,A11,A12,A13,A14,A16,A17,A18,A19,A20,A21,A22,A23,A27,A28
61,551.597,10.7131,7.70E+23,5.89E+24,1.15E+24,7.73E+24,1.90E-13,2.28E-13,2.93E-15,8.68E-18,6.89E-21,2.04E-23,2.34E-13,8.88E-17,2.03E-13,3.13E-14,176.5,12,2
62,570.103,10.9615,7.63E+23,5.96E+24,1.14E+24,7.84E+24,1.91E-13,2.31E-13,3.18E-15,8.63E-18,7.32E-21,1.98E-23,2.48E-13,9.17E-17,2.13E-13,3.48E-14,176.5,6,1
63,588.915,11.2129,7.56E+23,6.04E+24,1.13E+24,7.95E+24,1.93E-13,2.33E-13,3.45E-15,8.57E-18,7.75E-21,1.93E-23,2.62E-13,9.47E-17,2.23E-13,3.86E-14,176.5,6,1
64,608.033,11.4675,7.49E+23,6.11E+24,1.12E+24,8.06E+24,1.94E-13,2.35E-13,3.73E-15,8.51E-18,8.20E-21,1.87E-23,2.77E-13,9.78E-17,2.34E-13,4.27E-14,176.5,6,1
65,627.457,11.7252,7.42E+23,6.19E+24,1.11E+24,8.17E+24,1.96E-13,2.37E-13,4.03E-15,8.45E-18,8.66E-21,1.82E-23,2.92E-13,1.01E-16,2.45E-13,4.72E-14,176.5,6,1
66,647.187,11.9851,7.35E+23,6.26E+24,1.10E+24,8.28E+24,1.97E-13,2.39E-13,4.34E-15,8.40E-18,9.12E-21,1.77E-23,3.08E-13,1.04E-16,2.56E-13,5.19E-14,205.5,13,2
67,667.222,12.2493,7.28E+23,6.33E+24,1.09E+24,8.39E+24,1.99E-13,2.42E-13,4.66E-15,8.34E-18,9.59E-21,1.72E-23,3.24E-13,1.07E-16,2.67E-13,5.70E-14,205.5,7,1
68,687.564,12.5168,7.22E+23,6.41E+24,1.08E+24,8.51E+24,2.01E-13,2.44E-13,4.99E-15,8.28E-18,1.01E-20,1.67E-23,3.41E-13,1.11E-16,2.79E-13,6.24E-14,205.5,7,1
69,708.211,12.7877,7.15E+23,6.48E+24,1.07E+24,8.62E+24,2.02E-13,2.46E-13,5.34E-15,8.23E-18,1.05E-20,1.62E-23,3.59E-13,1.14E-16,2.90E-13,6.82E-14,205.5,7,1
70,729.164,13.0618,7.09E+23,6.56E+24,1.06E+24,8.74E+24,2.04E-13,2.48E-13,5.70E-15,8.17E-18,1.10E-20,1.58E-23,3.77E-13,1.17E-16,3.02E-13,7.44E-14,239.264,14,2
71,750.424,13.3394,7.03E+23,6.63E+24,1.06E+24,8.86E+24,2.05E-13,2.50E-13,6.08E-15,8.11E-18,1.15E-20,1.54E-23,3.96E-13,1.21E-16,3.15E-13,8.10E-14,239.264,7,1
72,771.989,13.6206,6.97E+23,6.71E+24,1.05E+24,8.97E+24,2.07E-13,2.52E-13,6.47E-15,8.06E-18,1.20E-20,1.50E-23,4.15E-13,1.25E-16,3.27E-13,8.80E-14,239.264,7,1
73,793.86,13.9053,6.91E+23,6.78E+24,1.04E+24,9.09E+24,2.08E-13,2.55E-13,6.87E-15,8.01E-18,1.25E-20,1.46E-23,4.35E-13,1.28E-16,3.40E-13,9.54E-14,239.264,7,1
74,816.036,14.1931,6.85E+23,6.86E+24,1.03E+24,9.21E+24,2.10E-13,2.57E-13,7.28E-15,7.95E-18,1.30E-20,1.42E-23,4.56E-13,1.32E-16,3.53E-13,1.03E-13,278.575,14,2
75,838.519,14.485,6.79E+23,6.93E+24,1.02E+24,9.34E+24,2.11E-13,2.59E-13,7.71E-15,7.90E-18,1.35E-20,1.39E-23,4.77E-13,1.36E-16,3.66E-13,1.12E-13,278.575,7,1
76,861.308,14.7806,6.73E+23,7.01E+24,1.01E+24,9.46E+24,2.13E-13,2.61E-13,8.15E-15,7.85E-18,1.41E-20,1.35E-23,4.99E-13,1.39E-16,3.79E-13,1.20E-13,278.575,7,1
77,884.402,15.0799,6.68E+23,7.08E+24,1.01E+24,9.58E+24,2.14E-13,2.63E-13,8.60E-15,7.80E-18,1.46E-20,1.32E-23,5.22E-13,1.43E-16,3.92E-13,1.30E-13,278.575,7,1
78,907.803,15.3829,6.62E+23,7.16E+24,9.98E+23,9.71E+24,2.16E-13,2.66E-13,9.07E-15,7.76E-18,1.51E-20,1.29E-23,5.46E-13,1.47E-16,4.06E-13,1.39E-13,278.575,7,1
79,931.509,15.6895,6.57E+23,7.24E+24,9.91E+23,9.83E+24,2.17E-13,2.68E-13,9.55E-15,7.71E-18,1.56E-20,1.26E-23,5.70E-13,1.51E-16,4.20E-13,1.50E-13,324.345,14,2
80,955.521,16.0001,6.51E+23,7.32E+24,9.83E+23,9.96E+24,2.19E-13,2.70E-13,1.00E-14,7.66E-18,1.61E-20,1.23E-23,5.95E-13,1.55E-16,4.34E-13,1.61E-13,324.345,7,1
81,979.839,16.3147,6.46E+23,7.39E+24,9.76E+23,1.01E+25,2.20E-13,2.72E-13,1.05E-14,7.62E-18,1.67E-20,1.20E-23,6.20E-13,1.60E-16,4.48E-13,1.72E-13,324.345,7,1
82,1004.46,16.6333,6.41E+23,7.47E+24,9.69E+23,1.02E+25,2.22E-13,2.74E-13,1.11E-14,7.58E-18,1.72E-20,1.18E-23,6.47E-13,1.64E-16,4.63E-13,1.84E-13,324.345,7,1
83,1029.39,16.9557,6.36E+23,7.55E+24,9.62E+23,1.04E+25,2.23E-13,2.77E-13,1.16E-14,7.54E-18,1.77E-20,1.15E-23,6.74E-13,1.68E-16,4.77E-13,1.96E-13,377.636,14,2
84,1054.63,17.2823,6.31E+23,7.63E+24,9.55E+23,1.05E+25,2.24E-13,2.79E-13,1.21E-14,7.50E-18,1.82E-20,1.13E-23,7.02E-13,1.72E-16,4.92E-13,2.10E-13,377.636,8,1
85,1080.17,17.613,6.26E+23,7.71E+24,9.49E+23,1.06E+25,2.26E-13,2.81E-13,1.27E-14,7.46E-18,1.87E-20,1.10E-23,7.31E-13,1.77E-16,5.07E-13,2.23E-13,377.636,8,1
86,1106.02,17.9479,6.21E+23,7.79E+24,9.42E+23,1.08E+25,2.27E-13,2.83E-13,1.32E-14,7.42E-18,1.93E-20,1.08E-23,7.60E-13,1.81E-16,5.22E-13,2.38E-13,377.636,8,1
87,1132.17,18.287,6.17E+23,7.87E+24,9.36E+23,1.09E+25,2.29E-13,2.85E-13,1.38E-14,7.38E-18,1.98E-20,1.06E-23,7.91E-13,1.86E-16,5.38E-13,2.53E-13,377.636,8,1
88,1158.63,18.6293,6.12E+23,7.95E+24,9.30E+23,1.11E+25,2.30E-13,2.87E-13,1.44E-14,7.35E-18,2.03E-20,1.04E-23,8.22E-13,1.91E-16,5.53E-13,2.68E-13,439.681,16,2
89,1185.4,18.9772,6.08E+23,8.03E+24,9.24E+23,1.12E+25,2.31E-13,2.89E-13,1.50E-14,7.31E-18,2.08E-20,1.02E-23,8.54E-13,1.95E-16,5.69E-13,2.85E-13,439.681,8,1
90,1212.47,19.3295,6.03E+23,8.12E+24,9.18E+23,1.13E+25,2.33E-13,2.92E-13,1.56E-14,7.28E-18,2.14E-20,9.96E-24,8.87E-13,2.00E-16,5.85E-13,3.02E-13,439.681,8,1
91,1239.84,19.6862,5.99E+23,8.20E+24,9.12E+23,1.15E+25,2.34E-13,2.94E-13,1.62E-14,7.25E-18,2.19E-20,9.76E-24,9.20E-13,2.05E-16,6.01E-13,3.20E-13,439.681,8,1
92,1267.53,20.0475,5.94E+23,8.28E+24,9.06E+23,1.16E+25,2.36E-13,2.96E-13,1.69E-14,7.22E-18,2.24E-20,9.58E-24,9.55E-13,2.10E-16,6.17E-13,3.38E-13,439.681,8,1
93,1295.51,20.4135,5.90E+23,8.37E+24,9.00E+23,1.18E+25,2.37E-13,2.98E-13,1.75E-14,7.19E-18,2.29E-20,9.41E-24,9.91E-13,2.15E-16,6.33E-13,3.58E-13,511.921,16,2
94,1323.81,20.7839,5.86E+23,8.45E+24,8.95E+23,1.20E+25,2.38E-13,3.00E-13,1.82E-14,7.17E-18,2.34E-20,9.23E-24,1.03E-12,2.20E-16,6.49E-13,3.78E-13,511.921,8,1
95,1352.41,21.159,5.82E+23,8.54E+24,8.89E+23,1.21E+25,2.40E-13,3.02E-13,1.88E-14,7.14E-18,2.39E-20,9.07E-24,1.06E-12,2.25E-16,6.66E-13,3.99E-13,511.921,8,1
96,1381.32,21.5389,5.78E+23,8.63E+24,8.84E+23,1.23E+25,2.41E-13,3.04E-13,1.95E-14,7.11E-18,2.44E-20,8.91E-24,1.10E-12,2.31E-16,6.83E-13,4.20E-13,511.921,8,1
97,1410.53,21.9237,5.74E+23,8.71E+24,8.79E+23,1.24E+25,2.42E-13,3.06E-13,2.02E-14,7.09E-18,2.49E-20,8.76E-24,1.14E-12,2.36E-16,7.00E-13,4.43E-13,511.921,8,1
98,1440.05,22.3099,5.70E+23,8.80E+24,8.73E+23,1.26E+25,2.44E-13,3.09E-13,2.09E-14,7.07E-18,2.54E-20,8.61E-24,1.18E-12,2.41E-16,7.16E-13,4.66E-13,596.03,16,2
99,1469.87,22.7045,5.66E+23,8.89E+24,8.68E+23,1.28E+25,2.45E-13,3.11E-13,2.16E-14,7.05E-18,2.59E-20,8.47E-24,1.22E-12,2.47E-16,7.33E-13,4.90E-13,596.03,8,1
100,1500,23.1041,5.63E+23,8.98E+24,8.63E+23,1.29E+25,2.46E-13,3.13E-13,2.23E-14,7.03E-18,2.64E-20,8.33E-24,1.27E-12,2.53E-16,7.51E-13,5.15E-13,596.03,8,1
